try,kind,status,score,param.steering.ackerman_factor,param.tire.effective_tire_r,param.tire.slip_ratio_relaxation_length,param.tire.slip_angle_relaxation_length,param.tire.longitudinal_peak_scale,param.tire.longitudinal_stiffness_scale,param.tire.lateral_shape_scale,param.tire.lateral_peak_scale,param.tire.lateral_curvature_scale,param.tire.lateral_stiffness_scale,param.tire.combined_slip_lateral_stiffness_scale,param.tire.longitudinal_peak_pdx1,param.tire.longitudinal_stiffness_pkx1,param.tire.longitudinal_curvature_pex1,param.tire.lateral_peak_pdy1,param.tire.lateral_stiffness_pky1,param.tire.lateral_curvature_pey1,param.tire.structural_longitudinal_stiffness,param.tire.structural_lateral_stiffness,param.tire.structural_yaw_stiffness,stage,parameter,step_size,search_radius,position_rmse,heading_rmse,velocity_rmse,velocity_x_rmse,velocity_x_mean_error,velocity_x_slow_rmse,velocity_x_slow_mean,velocity_y_rmse,yaw_rate_rmse,yaw_rate_under_rmse,front_wheel_rpm_rmse,motor_rpm_rmse,samples,error,warning
1772,staged_genetic_long_eval,ok,152.56337894664273,0.2598431702687434,0.18161032993140364,0.059381204225024437,0.002178988953182358,1.0216465719366523,0.9967436681015804,0.9866669146328776,1.3962329279531815,1.1374924496356518,10.25168066692947,1.2907570061578633,1.105832325666004,46.14374295603614,1.1807065890134842,2.8149586342161728,-386.04746623104654,-0.35659266569975434,377454.8600597247,669154.6129189268,60549.18703574253,feup_speed_preservation,,,,20.574352450772082,1.2827497192695398,3.0932312451113186,2.977059947791384,0.44026504254192533,1.921970840356114,1.010564131067962,0.8397580621758036,0.4421662407004025,0.20859459495580213,166.01923960953476,1095.3124114169002,1133,,
1773,staged_genetic_long_eval,ok,146.53095943404315,0.34477165623606953,0.1914072321734897,0.0497289110259938,0.003244836057777242,1.3622205580261182,0.7821712920563644,0.9834156524432657,1.2839817454945093,1.2723416435419324,11.541352949043091,1.0036901493025396,1.0574294637494717,38.286940095931485,1.2322187744008686,2.2734728849679344,-383.06308604712115,-0.2883641929686161,431972.11862673424,709686.782604238,76958.74796809336,feup_speed_preservation,,,,20.0250214218233,1.4575942189071858,2.560047794417097,2.5080003890335263,0.1318661110215054,1.7712293675522677,1.0115518101254488,0.5135939624912945,0.22968070766102194,0.21180357416642168,866.1966141570056,471.84871894573746,1116,,
1774,staged_genetic,ok,141.14811796846595,0.3447716562360696,0.1914072321734897,0.049728911025993805,0.0032448360577772414,1.3125305324212864,0.7821712920563644,0.9834156524432657,1.2839817454945093,1.2723416435419324,11.674267177784879,1.0337805708742611,1.0574294637494717,38.286940095931485,1.2322187744008686,2.2734728849679344,-383.06308604712115,-0.26534258590512866,431972.11862673424,709686.782604238,77552.31595132631,feup_speed_preservation,,,,19.717501046045978,1.2309293639405487,2.9198088715645936,2.8658245179919417,0.6576138449107148,1.5740968897508432,0.8420296202678568,0.5588682121426931,0.22445256092987342,0.19110440545774707,863.9513052988697,558.0053279652905,1120,,
1775,staged_genetic,ok,152.40422823830164,0.2900041769971622,0.1793459045633973,0.040711235937123766,0.004589755640805083,1.3585284996398563,0.7696975863695565,1.0243422402405646,1.9051186480986124,1.1761258856235546,11.861604189504046,0.7104700486375769,1.1098159629696254,25.15154285940961,1.666716745672919,2.522111461370038,-203.55398141442913,-0.10373105704569419,464565.46019092476,463407.41450209107,60200.81125983336,feup_speed_preservation,,,,21.254453350484752,1.6037287750054432,2.822930452887466,2.77569541353013,0.04145472882196392,1.9927982273927218,1.1686449329642854,0.5142482991194357,0.2770674706814634,0.2571316460333339,153.3019842787617,573.3531233230301,1120,,
1776,staged_genetic,ok,146.42652864809747,0.24733262090695485,0.19037581212575427,0.04766781389725529,0.002085145011946209,1.081528310216337,1.418801418569589,0.8738757345080406,0.9,1.1559189140630928,9.103449731431397,1.137795410430756,1.0506629438094732,34.42433023754181,1.225178510076495,2.990010339122713,-295.97992427014765,-0.5,452559.8926370662,733706.0171358958,23572.125751772117,feup_speed_preservation,,,,20.084737558969156,1.489687209595709,2.7147876247869274,2.6668650150787783,0.05274235379088471,1.9345827103225777,1.1148497663985706,0.5078413522401553,0.26509804300731354,0.24752714855556937,154.50410451825792,558.3280340943189,1119,,
1777,staged_genetic,ok,158.91782343895224,0.27149925380911016,0.19165177948777537,0.06454674978307998,0.002153183765746246,1.2186526830922155,1.176689586520093,0.9158503786571593,1.2735677573382482,1.084401222017326,9.584743200524521,1.38941984500819,0.978157197415201,38.35723887292218,1.0706637661932266,2.3453527411528756,-349.49782970688625,-0.13637003470652637,435477.9422724531,714513.2874614006,12808.065945948289,feup_speed_preservation,,,,20.507343938472633,1.692669321449882,2.692683623853915,2.6457592475120335,-0.07658906991889029,2.0026956028327145,1.1589370333930173,0.5005028495179701,0.2688080879440429,0.25369489690051494,863.7173115318813,524.712591980595,1117,,
1778,staged_genetic,ok,171.47558353389257,0.21965419604400782,0.18935838590471157,0.015,0.004029098026157656,1.207783914722993,1.6862080266872503,0.9476576314281044,1.1669409195835263,1.26135346180006,7.434454158545896,0.9859418831416901,1.034549324667282,30.82465216937529,1.4382335035443168,2.862628550633642,-282.6050301054142,-0.29282978713025465,380626.00935739937,905674.3293769946,49263.914490208874,feup_speed_preservation,,,,19.786850544530807,1.5990906979724906,2.790059198100133,2.7515992922080357,-0.5862008961883407,2.361819039983716,1.4176109730493285,0.46166185030104856,0.29814304963085086,0.2915441304073732,864.8547041737471,521.146136698625,1115,,
1779,staged_genetic,ok,147.34154418667129,0.31878103474198094,0.192,0.05351267639816225,0.002994492080374539,1.223813381287989,0.75,0.9665836712668727,0.9623544924160666,1.191641551937173,5.948653689627821,1.0135417556659214,1.0645758413040458,45.58488530407963,1.196115004667487,2.9931207290635804,-376.67971494695047,-0.49223860896591143,467574.55092885415,702482.1084414701,13120.606459004433,feup_speed_preservation,,,,18.8847370020209,1.273025714055283,2.667390351983059,2.6162917268889627,0.14245620008214316,1.836821161048407,1.0310728992857148,0.5196045512355284,0.25604430359642333,0.23584428017644626,862.0357378373377,495.18650591259495,1120,,
1780,staged_genetic,ok,145.96908601363367,0.2307293595722084,0.1901281300662533,0.015,0.003973163415818929,1.2333291123134784,1.5675547693607457,0.9594892191824211,1.170274917826256,1.2790440289537504,7.9720538615283285,1.3262275220463284,0.9333380699960198,34.15415657601403,1.3614533405337048,2.5999960810959446,-317.1604063080134,-0.25790430682706217,406377.4097915025,1016529.5983184738,41781.145694624145,feup_speed_preservation,,,,21.355639119286845,1.929141268589681,2.5738653446979822,2.5272072532790038,-0.05257619345070529,1.8497507344597213,1.0829071518133797,0.48785890543398536,0.2390491625660249,0.22177468218287003,150.1459103031484,525.5281687697251,1136,,
1781,staged_genetic,ok,149.12868546492615,0.34477165623606953,0.1914072321734897,0.0497289110259938,0.003244836057777242,1.3622205580261182,0.7821712920563644,0.9834156524432657,1.2839817454945093,1.2723416435419324,11.541352949043091,1.0036901493025396,1.0574294637494717,38.286940095931485,1.2322187744008686,2.2734728849679344,-383.06308604712115,-0.2883641929686161,431972.11862673424,709686.782604238,76958.74796809336,feup_speed_preservation,,,,19.584397803888233,1.4215805387242173,2.84282135794975,2.794973286354483,0.08819079033243973,2.0167455911148675,1.1279172859785525,0.5193819421005008,0.27350006388681936,0.2530496857059356,139.57242447878946,521.5839774976802,1119,,
1782,staged_genetic,ok,152.56302614478602,0.049324065473148326,0.1874831482037141,0.016934612136971238,0.00033869214953519844,1.1025240982718287,0.782043827644252,0.9957068062167495,1.1500182414348894,1.565498600357117,3.2145707916035886,1.489991134074695,0.9868002198161772,39.10525138393464,1.30577037393742,2.6013148054532413,-190.038862557978,0.35761506457522296,250506.69113566773,409438.7189484948,54889.064045270636,feup_speed_preservation,,,,20.564805666972095,1.4128313201824365,3.180708341124226,3.1367244876283964,0.5045059023897708,1.734417678689746,0.9702768489329794,0.5271290544160999,0.25435387665944165,0.20971236392815004,865.551436289699,684.4836358914973,1134,,
1783,staged_genetic,ok,166.01647817883335,0.007251741457867722,0.18705024272726092,0.06490315014859505,0.0017085694620919726,1.3201156664040432,0.8749199645055038,1.2535139206073778,1.9772077242116275,1.5613623180275629,2.7651613184933326,1.14764290637829,0.8820298977113449,67.7248120435349,0.7898896195141482,2.589078567204782,-104.81281864861683,0.408957266877751,196121.65095724264,206949.06332233825,75493.28781485182,feup_speed_preservation,,,,18.985526262215117,1.352594176845893,2.764541471510249,2.7336329903498875,-1.1422231448996434,2.515496033485851,1.6812484667562728,0.41223806443702143,0.32178912553040323,0.31816220316546173,134.8844386673141,614.3390998027959,1116,,
1784,staged_genetic,ok,193.8437821207718,0.17175468158722038,0.1798812189705426,0.05343237181724397,0.005817170932735884,1.7745189498039926,1.565524865268129,0.8888858754219866,1.6647540680763107,1.5423703941275078,8.038384047352539,0.7610689536130316,1.0962444193399818,36.884860665012,1.3321325577947385,3.8300524588191687,-155.71787387446903,-0.4385884593398026,542040.5197712404,675910.9109939161,51071.98806535124,feup_speed_preservation,,,,20.24086701040918,1.592423880114281,3.5323433315117145,3.512321654733425,-1.5795500262163575,2.7500859494110057,2.148388982849603,0.3755609209781366,0.34232925608393405,0.32277157191215883,862.3955237038997,635.9022340588429,1137,,
1785,staged_genetic,ok,181.6913132411393,0.11687282379065247,0.19140267807647332,0.030171192062076677,0.006397295406256069,1.2453382360442462,1.1278998097958288,1.0573164278824423,0.9168875106560231,1.1609292342353483,13.423927507055087,1.042480107341498,1.2539576847828318,64.54406221574726,1.1255901567388986,3.5507851150032534,-351.26630339997587,0.9850443033550167,351726.9074551121,135320.1754426398,99487.64286843182,feup_speed_preservation,,,,21.436843256719804,1.8524139757030254,2.9478377675318828,2.9212483698847573,-1.193103818645557,2.4939757690279665,1.7564567779243625,0.3950385615772319,0.2980813201664123,0.2883551771353804,857.5743965146771,513.8803845786877,1137,,
1786,staged_genetic,ok,185.96204896660834,0.2703714036129212,0.18322259350133513,0.06443743333418867,0.003931922486288745,1.6354474794779579,1.4335761258745485,1.2624926986961564,2.226894013966629,1.4201803641906197,8.142976514262669,0.7903752001908486,1.252844124342837,29.986654019654484,1.5190062573088032,4.181799376252596,-364.8363762887054,0.32203873033024333,467162.55276759475,747551.9476203604,6008.136117483872,feup_speed_preservation,,,,20.81023383215308,1.6595513793862542,3.0087588712859143,2.9853208230091366,-1.8130738241510285,2.8616323355028994,2.1360658304066162,0.374819328810231,0.3654256708958907,0.3634150506853884,145.1013403565399,517.2084307601859,1119,,
1787,staged_genetic,ok,176.2907443282404,0.1395568422682085,0.18265441005350477,0.033296415040576746,0.007154769659007973,1.1976484009990445,1.4483785619006664,0.9746087124121143,1.0346342891798668,0.9848914120796605,5.396973520049521,1.3483118116914694,0.8117379624464343,38.939228380051844,0.9788390699496533,3.1661027113178513,-184.73041475375732,0.15213624111608914,565594.0422512507,1250541.7522435694,8603.118108179573,feup_speed_preservation,,,,20.161677807414836,1.7052524669857663,2.925211551534919,2.869375076811048,-0.5989718402504479,2.383869215970539,1.4955055459749558,0.5688139325024556,0.4010583921285967,0.2670691890938551,868.6022149811674,754.1464036903732,1118,,
1788,staged_genetic,ok,149.6132531608059,0.2610287131810888,0.1859755227312848,0.023810982048546363,0.005021990144241241,1.2773993902098266,1.5128823548241477,1.03772293328837,1.3506452223284549,1.179562623991722,12.026507309959406,1.120866313431439,1.0717345514877832,20.394009896356593,1.4569136315732834,2.563312671295722,-190.5615037111215,-0.19087893124226996,413463.0648542588,603695.7783748612,43084.65873522023,feup_speed_preservation,,,,21.879352791126284,1.9616071038651774,2.5296740386437913,2.483916077383202,-0.22415090629310655,1.9361167892591395,1.177564139239033,0.4789693751229135,0.2535670902212192,0.24288116447306302,127.75010935139173,475.69220574189063,1117,,
1789,staged_genetic,ok,149.61756747046212,0.22265028413536303,0.18071196234266448,0.0544795746682543,0.0031788686119738137,1.185828859355321,0.858820601931137,0.9636498824353149,1.6113659618526013,1.0630625695271727,9.873016620806613,1.3922439401115951,1.0224708657373636,44.54158986011168,1.138743093547492,2.1619236100933383,-371.0548669583819,-0.3399717069484235,435814.8451100555,716495.7918970976,39685.64460812166,feup_speed_preservation,,,,20.632452005607362,1.4328243430586178,2.825772132468985,2.7781955076114286,0.13110632234191213,1.9660656721737226,1.1262840147453088,0.5163505264120385,0.27579643139206916,0.2557122846103046,153.88201479500188,612.3937590656586,1119,,
1790,staged_genetic,ok,161.65429835089066,0.31766549743991573,0.18911322762471955,0.05381822455403009,0.0035342825515808167,1.2176029331509968,1.5137328833989947,0.9332359266993395,1.3076395167572605,1.11333307904277,12.56324230142032,1.121753718654783,0.9366788688222119,35.8003048444539,1.2400293465232894,2.272306386611743,-329.88339509626286,-0.17720807266230298,443052.7658807389,726127.0916419448,34660.60935924524,feup_speed_preservation,,,,20.66884422769302,1.811252026908037,2.761373707015257,2.7151749050102363,-0.08719262802676128,2.0310060010207516,1.2091960371186448,0.5030009791221359,0.27419644843177526,0.25763859336454564,863.1126642641409,563.3696203766361,1121,,
1791,staged_genetic,ok,159.83437229538748,0.3046260475031448,0.1803744476592337,0.03135612605516809,0.004740194838664757,1.3035573356389847,1.5149392830618462,0.9811186540648684,1.706991910664348,1.1679669588211183,11.377889082059944,1.0177209682462889,1.056332422243023,24.847873241772575,1.6622904731455073,2.6037476221788403,-186.89515442324006,-0.12881670032425394,398313.3489517405,217310.6589707701,59461.63164227751,feup_speed_preservation,,,,20.032155426877946,1.4737466444888239,2.7717912752571863,2.732613433087902,-0.5590551339136723,2.2860301401049354,1.4390579875335137,0.4643820613453906,0.2998927727627629,0.2914715221623072,144.38104249301406,540.7746686611653,1119,,
1792,staged_genetic,ok,146.3709913963647,0.277959467697623,0.191141744780691,0.015,0.0016493691247219115,1.215521349750467,1.4013165969155934,0.9710808048401457,1.1923059030858738,1.0917830453096367,8.153227471523431,1.381890445926997,0.9297252319034924,39.47528924159943,1.0080661095367198,2.5637836762279305,-343.8850790390131,-0.15298750416845194,404619.19055589737,839699.4084194667,43220.21450704508,feup_speed_preservation,,,,19.997282811637913,1.7887437959825725,2.7016442138183034,2.654061449474414,0.0057337396874781186,1.9053257737542069,1.126840970688729,0.5048160857893685,0.26821670068623293,0.24891409870963532,134.82676672184016,553.3927556514134,1118,,
1793,staged_genetic,ok,162.04498866268298,0.23171801631119798,0.1901346072786044,0.03745422160389344,0.0036689649971461593,1.1260461280676295,1.4065254351401113,0.8826117054548595,1.280626695460161,1.2160548299053993,8.235105557740308,1.0951727394291648,1.009834995891024,34.35757051231319,1.3274820790495974,2.498357406636695,-292.31185980332583,-0.41686794865164384,470383.87535556377,829568.6233960288,42978.87578593495,feup_speed_preservation,,,,21.142224519480393,1.8472719507643378,2.982726163841353,2.9362282082571842,0.09739240573476704,1.9607473624559513,1.1687140566308243,0.5246134553159676,0.2545904173242876,0.23017472493273836,866.1491886349477,616.0630888863326,1116,,
1794,staged_genetic,ok,282.767306316377,0.2870866075753177,0.18171997561308553,0.057731582524046504,0.003293112182711347,1.0017654498864836,0.9706006791422919,1.069917814673949,1.4653589690492967,1.1520472658989864,6.709070317309507,1.3192569862848256,0.9986947200673612,43.49951622977419,1.2751421004026244,2.347034931963395,-407.86225248854043,-0.023769105108410238,369210.35515166796,668537.7414764946,60906.08494783299,feup_speed_preservation,,,,34.62083252341162,1.5282151421657748,4.655403752062065,4.5064456159650055,-1.7693409085211307,4.046392821011382,2.7610378706690146,1.1682174476797298,0.6393480681807532,0.375995929107153,876.3783560794574,1434.4983122446567,1136,,
1795,staged_genetic,ok,163.09251725489116,0.2942234448354515,0.18524850235969473,0.05230274537809986,0.004944929252340279,1.2416263358230821,1.6277643693134416,0.9160447212814147,1.2188635047936107,1.2479855834490645,11.928674906453454,1.0706113809463527,1.1420195908080528,21.296094052630494,1.1906906844145382,2.90089801688445,-326.0385202719279,-0.4285288129412636,180000.0,812995.9206219172,41927.26282087558,feup_speed_preservation,,,,20.7894727722753,1.6477114616593205,3.640701359152994,3.60777765114172,0.006376089023747558,2.0787202410054335,1.2697659540721202,0.48851489891382005,0.2692621184463905,0.24341996147106668,186.39610894631917,734.1383502993956,1137,,
1796,staged_genetic,ok,148.54946875217084,0.2971741214614386,0.19185838293914625,0.054426258178163746,0.003461978573189799,1.3430382372882292,1.6799905967727893,0.9857523450443382,1.2205717125710076,1.267023132147,11.714911850857028,0.9315163155987141,1.055188587985206,40.04498002229123,1.1742301740725198,2.4694565063128255,-389.90516524752417,-0.2956331650633226,376099.99598175584,707657.0381288952,68335.95659481495,feup_speed_preservation,,,,17.348954547761508,1.2125740418364483,2.7401271142056656,2.7006103439491533,-0.5596594772500005,2.176805580413446,1.4051247272500003,0.4636813260849473,0.26241530948935454,0.25316235785677255,129.9689461262537,498.4383883128575,1120,,
1797,staged_genetic,ok,160.3022972613014,0.35,0.19135175504534685,0.05354902773333762,0.002602276409431431,1.6514018733219658,0.7892310794859673,1.058136443382947,1.5554749306044489,1.2902604460789022,12.619351611260864,1.0352146152573722,1.037982942002565,36.79171544672315,1.2286236383946996,2.17378253888109,-426.24908262016504,-0.19889538987581618,385381.4528843336,832054.4501628419,70482.22557875591,feup_speed_preservation,,,,21.09416253913187,1.879461596381236,3.1142738707720072,3.0711615638162755,0.2408713322486776,1.8847309906664627,1.0934360107848318,0.516399449177525,0.2521096236381201,0.22083139891773745,863.9130931451838,572.3551569959516,1134,,
1798,staged_genetic,ok,155.50586935282018,0.259887689653313,0.18300314175962776,0.04480200929345144,0.002664846401884585,1.2261998952305033,1.0360733755530125,0.8836266171923989,1.7329694625351404,1.1808335484941797,11.00783637123061,1.284447806715153,1.1492219602193767,45.06310291247776,1.177785327642545,2.816178978167047,-384.12644613842497,-0.3544134434004311,522123.4968348601,695660.9636607331,1411.760944643438,feup_speed_preservation,,,,19.506198055838798,1.232892570899599,2.816453345587884,2.7771718441176256,-0.5229878222921137,2.2289917586945744,1.4252199411917548,0.468749395854008,0.27062153368938563,0.2592041919218313,140.804994598342,540.5316737269062,1116,,
1799,staged_genetic,ok,250.84315745432642,0.3404076508903127,0.18643941335492048,0.05098181970141156,0.0032016823242498977,1.0,0.75,0.8991083931954152,1.009577378441406,1.2471022471506228,9.979401896447303,1.0655729280100243,1.0350493595595396,38.4183779008618,1.1942859360346756,2.666135656019337,-374.13361836494926,-0.33218394783105576,407481.744935005,840771.5589222095,62147.770641491836,feup_speed_preservation,,,,31.609305081798816,1.6565625988830712,3.9566067110617227,3.9002079250244823,-1.6924769629565681,3.5302305621240757,2.515390560991063,0.6656686920645203,0.5680212146468062,0.40644881472983546,873.530737653065,1008.8922668499721,1119,,
1800,staged_genetic,ok,147.98448526230476,0.24270850194034557,0.19139243745083806,0.06466765236947475,0.0031836715406309882,1.2964438541709093,0.9478781766088826,0.9537403795770341,1.085540196780384,1.3128646901059082,11.208096605347006,1.3070502816492686,1.0373372495684656,40.580174406328105,1.4100525829224921,2.6672192729665856,-364.57029186527984,-0.2768460646948948,465672.75318458333,1002805.7331803177,17406.1994471814,feup_speed_preservation,,,,20.007049233474376,1.7690509773992038,2.7262306426577716,2.68197724392956,-0.10637162752858348,1.9520813929178429,1.1834094727352693,0.489215269600425,0.25109439606223044,0.23145572858833072,153.85085580510307,509.7619925084806,1137,,
