Number of Cones in the Map, Prediction Step Execution Time, Number of Cones coming from perception, Correction Step Execution Time (ms), Total time (ms)
90,30.045,3,6.515,36.56
100,18.978,3,8.038,27.016
110,34.001,3,9.204,43.205
120,48.844,3,8.395,57.239
130,33.601,3,10.474,44.075
140,56.145,3,11.239,67.384
150,80.784,3,13.138,93.922
160,95.174,3,15.381,110.555
170,94.565,3,15.132,109.697
180,155.398,3,17.651,173.049
190,273.135,3,20.563,293.698
200,148.889,3,24.632,173.521
10,0.181,4,0.295,0.476
20,0.859,4,0.624,1.483
30,1.067,4,1.149,2.216
40,4.515,4,2.427,6.942
50,20.552,4,3.952,24.504
60,21.592,4,4.805,26.397
70,17.459,4,6.229,23.688
80,25.03,4,7.149,32.179
90,40.517,4,8.376,48.893
100,28.854,4,10.241,39.095
110,41.065,4,12.929,53.994
120,49.299,4,11.463,60.762
130,32.295,4,13.77,46.065
140,51.211,4,14.807,66.018
150,71.994,4,17.02,89.014
160,63.59,4,17.333,80.923
170,98.295,4,20.256,118.551
180,164.167,4,21.896,186.063
190,200.122,4,25,225.122
200,135.863,4,30.506,166.369
10,0.183,5,0.373,0.556
20,0.861,5,0.782,1.643
30,1.129,5,1.375,2.504
40,4.529,5,2.992,7.521
50,7.664,5,4.435,12.099
60,15.627,5,5.508,21.135
70,12.698,5,6.88,19.578
80,23.913,5,8.662,32.575
90,35.436,5,10.666,46.102
100,23.377,5,12.846,36.223
110,38.433,5,15.078,53.511
120,50.863,5,14.44,65.303
130,39.497,5,17.515,57.012
140,57.31,5,18.177,75.487
150,74.266,5,22.658,96.924
160,75.089,5,26.966,102.055
170,108.915,5,27.144,136.059
180,154.34,5,28.131,182.471
190,217.796,5,33.464,251.26
200,147.658,5,34.535,182.193
10,0.18,6,0.439,0.619
20,0.863,6,0.938,1.801
30,1.282,6,1.644,2.926
40,4.246,6,3.475,7.721
50,7.847,6,4.901,12.748
60,12.779,6,6.259,19.038
70,20.419,6,8.439,28.858
80,22.451,6,10.121,32.572
90,36.84,6,12.503,49.343
100,24.421,6,15.448,39.869
110,33.998,6,18.038,52.036
120,50.246,6,18.325,68.571
130,42.795,6,20.168,62.963
140,54.157,6,21.527,75.684
150,80.981,6,27.563,108.544
160,64.788,6,27.593,92.381
170,169.074,6,33.632,202.706
180,208.57,6,35.312,243.882
190,231.815,6,37.016,268.831
200,122.26,6,39.257,161.517
10,0.181,7,0.516,0.697
20,0.948,7,1.154,2.102
30,0.982,7,1.979,2.961
40,4.383,7,4.111,8.494
50,8.755,7,5.588,14.343
60,17.113,7,7.33,24.443
70,12.011,7,9.518,21.529
80,29.623,7,12.664,42.287
90,34.8,7,14.692,49.492
100,21.71,7,17.125,38.835
110,33.101,7,20.18,53.281
120,47.033,7,19.406,66.439
130,35.526,7,23.224,58.75
140,54.095,7,26.139,80.234
150,75.892,7,31.327,107.219
160,90.576,7,35.238,125.814
170,96.811,7,36.825,133.636
180,149.441,7,37.084,186.525
190,205.755,7,41.125,246.88
200,126.489,7,45.79,172.279
10,0.18,8,0.586,0.766
20,0.856,8,1.234,2.09
30,0.988,8,2.245,3.233
40,4.421,8,4.577,8.998
50,11.763,8,6.434,18.197
60,16.2,8,8.673,24.873
70,14.144,8,10.806,24.95
80,18.906,8,13.561,32.467
90,36.518,8,16.431,52.949
100,22.182,8,19.861,42.043
110,33.086,8,23.904,56.99
120,48.825,8,22.134,70.959
130,31.633,8,26.895,58.528
140,50.189,8,27.313,77.502
150,75.333,8,31.274,106.607
160,65.295,8,34.609,99.904
170,90.259,8,39.084,129.343
180,152.849,8,44.216,197.065
190,204.499,8,52.198,256.697
200,131.282,8,55.519,186.801
10,0.24,9,0.862,1.102
20,1.027,9,1.62,2.647
30,0.978,9,2.499,3.477
40,4.589,9,5.238,9.827
50,11.644,9,7.06,18.704
60,16.161,9,9.465,25.626
70,10.918,9,12.629,23.547
80,20.693,9,15.578,36.271
90,36.842,9,18.515,55.357
100,23.801,9,22.332,46.133
110,34.115,9,26.057,60.172
120,51.102,9,25.018,76.12
130,33.884,9,29.367,63.251
140,54.301,9,32.299,86.6
150,73.995,9,35.945,109.94
160,55.611,9,41.02,96.631
170,91.476,9,44.146,135.622
180,149.228,9,49.494,198.722
190,206.445,9,54.351,260.796
200,130.886,9,60.37,191.256
10,0.192,10,0.769,0.961
20,0.895,10,1.62,2.515
30,0.978,10,2.78,3.758
40,4.902,10,5.478,10.38
50,11.961,10,7.799,19.76
60,17.058,10,10.575,27.633
70,10.85,10,14.276,25.126
80,25.581,10,16.998,42.579
90,31.101,10,19.891,50.992
100,23.256,10,24.627,47.883
110,36.223,10,28.896,65.119
120,47.622,10,28.922,76.544
130,34.834,10,34.097,68.931
140,53.879,10,35.021,88.9
150,72.423,10,40.159,112.582
160,57.728,10,45.907,103.635
170,104.093,10,49.234,153.327
180,152.353,10,53.108,205.461
190,235.24,10,62.124,297.364
200,150.717,10,68.974,219.691
