x,y,z,intensity,ring,angle_deg,range
-13.9854,-49.9487,-1.37998,9,16,-105.642,51.888
-18.0861,-50.2139,-1.73694,12,17,-109.808,53.4
-22.4555,-50.4953,-2.12394,8,18,-113.975,55.304
-11.3003,-40.3587,-1.85624,1,19,-105.642,41.952
-12.433,-34.5189,-1.8432,1,20,-109.808,36.736
-13.5991,-30.5799,-1.87755,1,21,-113.975,33.52
-6.95594,-24.843,-1.59958,3,22,-105.642,25.848
-8.05872,-22.3741,-1.61539,3,23,-109.808,23.836
-8.8925,-19.9963,-1.61515,3,24,-113.975,21.944
-4.90029,-17.5013,-1.44822,5,25,-105.642,18.232
-5.79111,-16.0784,-1.46297,6,26,-109.808,17.152
-6.56178,-14.7553,-1.47731,4,27,-113.975,16.216
-3.79671,-13.5599,-1.37126,5,28,-105.642,14.148
-4.55592,-12.649,-1.38864,7,29,-109.808,13.516
-3.77459,-10.4797,-1.34774,6,30,-109.808,11.22
-3.20754,-8.90539,-1.31259,6,31,-109.808,9.556
-2.79485,-7.7596,-1.29094,12,32,-109.808,8.348
-2.48913,-6.9108,-1.27946,8,33,-109.808,7.456
-2.23636,-6.209,-1.26703,8,34,-109.808,6.72
-2.02709,-5.62799,-1.25426,7,35,-109.808,6.112
-1.84647,-5.12652,-1.23896,7,36,-109.808,5.588
-1.69702,-4.7116,-1.2269,8,37,-109.808,5.156
-1.21184,-3.36455,-1.2122,9,38,-109.808,3.776
-0.863027,-2.3961,-1.17316,12,39,-109.808,2.804
0,0,0,0,0,0,0
0,0,0,0,1,0,0
0,0,0,0,2,0,0
0,0,0,0,3,0,0
0,0,0,0,4,0,0
-43.7852,-120.247,4.89821,2,5,-110.008,128.064
-64.6908,-144.112,5.10775,8,6,-114.175,158.048
-15.8375,-55.8122,1.53435,14,7,-105.842,58.036
-20.2702,-55.6678,1.21717,13,8,-110.008,59.256
-25.0226,-55.7428,0.894775,17,9,-114.175,61.108
-15.2681,-53.8055,0.489046,15,10,-105.842,55.932
-19.6203,-53.8828,0.164122,9,11,-110.008,57.344
-24.1717,-53.8473,-0.178186,13,12,-114.175,59.024
-14.7974,-52.147,-0.483433,15,13,-105.842,54.208
-18.9326,-51.9942,-0.819974,12,14,-110.008,55.34
-23.2397,-51.771,-1.17581,13,15,-114.175,56.76
-14.1728,-49.9457,-1.38126,9,16,-105.842,51.936
-18.2886,-50.2256,-1.73954,13,17,-110.008,53.48
