elapsed_s,real_x,real_y,real_yaw,sim_x,sim_y,sim_yaw,position_error,heading_error,real_velocity_x,real_velocity_y,real_yaw_rate,sim_velocity_x,sim_velocity_y,sim_yaw_rate,real_fl_rpm,real_fr_rpm,real_front_rpm,real_motor_rpm,sim_fl_rpm,sim_fr_rpm,sim_front_rpm,sim_motor_rpm,front_wheel_rpm_error,motor_rpm_error
1.12078,7.97785,22.3026,2.36304,14.7037,8.00501,1.06861,15.8006,-1.29444,3.62964,0,0.381858,2.01606,0.157559,0.146309,207.679993,230.539993,219.109993,1009.000000,103.21,112.604,107.907,383.119,-111.203,-625.881
1.14089,7.6843,22.5527,2.39814,14.7657,8.14527,1.07993,16.0537,-1.31821,3.74007,0,0.405309,1.89567,0.149608,0.135958,209.800003,238.500000,224.150002,658.000000,97.9276,106.511,102.219,330.941,-121.931,-327.059
1.16105,7.36404,22.8138,2.44128,14.8266,8.2855,1.09054,16.3328,-1.35074,5.67901,0,0.320762,1.81869,0.136451,0.121076,203.289993,225.229996,214.259995,976.000000,91.8543,99.5044,95.6794,376.573,-118.581,-599.427
1.18107,7.1018,22.9959,2.45844,14.8819,8.41608,1.1002,16.5258,-1.35823,3.6878,0,0.366965,1.92166,0.142338,0.13083,208.720001,229.360001,219.040001,687.000000,97.2756,105.429,101.352,552.468,-117.688,-134.532
1.20126,6.79559,23.237,2.48845,14.9516,8.58439,1.11237,16.7696,-1.37608,6.23933,0,0.37277,2.42382,0.16871,0.15851,210.509995,231.220001,220.864998,932.000000,121.955,131.743,126.849,487.304,-94.016,-444.696
1.22129,6.36411,23.5232,2.52697,15.0285,8.77712,1.12629,17.1032,-1.40068,5.17769,0,0.339202,2.82184,0.206747,0.190812,222.539993,237.190002,229.864998,870.000000,143.163,154.999,149.081,583.813,-80.7838,-286.187
1.24142,6.04662,23.7412,2.55386,15.1156,9.00726,1.14335,17.3013,-1.41051,5.01372,0,0.333869,3.35295,0.254679,0.234148,223.770004,249.949997,236.860001,940.000000,169.775,184.275,177.025,713.648,-59.835,-226.352
1.2616,5.70351,23.9368,2.58473,15.2138,9.28377,1.16413,17.4687,-1.4206,5.66268,0,0.395089,3.82516,0.29517,0.271894,238.139999,263.489990,250.814995,976.000000,194.967,211.847,203.407,731.369,-47.4083,-244.631
1.2817,5.34998,24.1246,2.61133,15.312,9.58408,1.18739,17.6258,-1.42394,5.86671,0,0.437107,4.06378,0.335405,0.304961,242.059998,264.940002,253.500000,1024.000000,206.28,225.226,215.753,775.388,-37.7468,-248.612
1.30177,4.93514,24.3362,2.65007,15.407,9.90548,1.21339,17.8299,-1.43668,4.99444,0,0.495113,4.13408,0.353913,0.327384,343.220001,240.800003,292.010002,918.000000,209.494,229.926,219.71,807,-72.3004,-111
1.32185,4.50419,24.5359,2.69659,15.4926,10.2304,1.24048,18.0386,-1.45611,6.22521,0,0.548422,4.1939,0.365319,0.343661,257.730011,289.019989,273.375000,969.000000,212.437,233.545,222.991,818.385,-50.3841,-150.615
1.34194,4.05616,24.7373,2.73923,15.5713,10.5666,1.26833,18.2594,-1.4709,6.28494,0,0.475755,4.53088,0.383678,0.355051,259.440002,283.769989,271.604996,1148.000000,229.267,251.239,240.253,928.411,-31.3519,-219.589
1.36211,3.72368,24.8467,2.76804,15.6477,10.9332,1.29713,18.324,-1.47091,5.24475,0,0.52242,4.69543,0.382559,0.353014,266.640015,311.880005,289.260010,954.000000,237.944,259.846,248.895,1017.36,-40.3649,63.3556
1.38224,3.30891,24.9931,2.80809,15.721,11.3332,1.32685,18.4568,-1.48124,7.0794,0,0.51397,5.17108,0.387146,0.368461,270.679993,302.739990,286.709991,1071.000000,261.836,284.661,273.248,1062.49,-13.4617,-8.51351
1.40231,2.88683,25.0881,2.84406,15.7874,11.7522,1.35555,18.5546,-1.48851,6.76517,0,0.435682,5.38892,0.368281,0.349119,276.850006,308.029999,292.440002,1218.000000,271.856,293.37,282.613,1167.03,-9.82696,-50.9692
1.42243,2.3106,25.2518,2.88648,15.8482,12.1921,1.38238,18.8101,-1.50411,5.88256,0,0.461505,5.58517,0.340292,0.323962,290.970001,309.179993,300.074997,1013.000000,284.925,305.162,295.044,1079.92,-5.0312,66.9166
1.44253,1.88581,25.3278,2.91402,15.9011,12.6391,1.4069,18.9058,-1.50712,6.34285,0,0.340858,5.60343,0.312355,0.297346,294.739990,312.420013,303.580002,1013.000000,286.316,304.945,295.63,1085.64,-7.94956,72.6384
1.46264,1.29374,25.4441,2.95005,15.9461,13.09,1.42939,19.1654,-1.52066,6.59189,0,0.348769,5.67914,0.277302,0.264436,302.809998,312.970001,307.889999,1137.000000,290.401,307.081,298.741,1180.48,-9.14888,43.4804
1.48271,0.783037,25.5175,2.97836,15.9866,13.5577,1.44913,19.3439,-1.52922,6.96866,0,0.307693,5.96565,0.241985,0.231857,305.179993,311.489990,308.334991,1218.000000,305.988,320.546,313.267,1178.46,4.9321,-39.5433
1.5028,0.219057,25.581,3.0049,16.0234,14.0482,1.46663,19.5648,-1.53827,6.6445,0,0.206319,6.18705,0.219699,0.213109,305.179993,311.489990,308.334991,1250.000000,317.904,331.21,324.557,1255.82,16.222,5.82026
1.52291,-0.200025,25.6358,3.01946,16.0546,14.5448,1.4823,19.678,-1.53716,6.50173,0,0.240722,6.26082,0.19735,0.190294,236.970001,320.100006,278.535004,1123.000000,322.955,334.944,328.949,1214.68,50.4145,91.6766
1.543,-0.875635,25.6961,3.04384,16.0803,15.0515,1.49684,20.0203,-1.54699,7.19783,0,0.143303,6.29237,0.184631,0.178493,318.799988,341.899994,330.349991,1093.000000,324.946,336.15,330.548,1220.89,0.197808,127.888
1.56311,-1.44835,25.7422,3.05804,16.0997,15.5622,1.51073,20.2871,-1.5473,8.16737,0,0.194389,6.32396,0.181024,0.174911,318.470001,338.480011,328.475006,1411.000000,326.702,337.657,332.179,1227.05,3.70433,-183.954
1.58329,-1.94115,25.7775,3.07424,16.1122,16.0731,1.5242,20.4964,-1.55004,6.51941,0,0.234834,6.41475,0.205206,0.181559,419.040009,342.559998,380.800003,1141.000000,330.259,341.476,335.867,1312.11,-44.9326,171.114
1.60336,-2.57868,25.8128,3.10034,16.112,16.5929,1.54263,20.841,-1.55771,8.26852,0,0.31388,6.60317,0.29964,0.268908,318.880005,343.029999,330.955002,1188.000000,339.057,355.627,347.342,1282.95,16.3872,94.953
