elapsed_s,real_x,real_y,real_yaw,sim_x,sim_y,sim_yaw,position_error,heading_error,real_velocity_x,real_velocity_y,real_yaw_rate,sim_velocity_x,sim_velocity_y,sim_yaw_rate,real_fl_rpm,real_fr_rpm,real_front_rpm,real_motor_rpm,sim_fl_rpm,sim_fr_rpm,sim_front_rpm,sim_motor_rpm,front_wheel_rpm_error,motor_rpm_error
0.794161,9.98009,0.63165,0.282247,17.619,1.46715,0.371523,7.68444,0.0892757,5.63064,0,0.0195144,8.73037,-0.0505416,-0.0458589,268.700012,264.489990,266.595001,973.000000,457.762,455.143,456.452,1787.43,189.857,814.432
0.814278,10.419,0.76335,0.284177,18.2909,1.71922,0.364687,7.92967,0.0805098,6.09651,0,-0.0351045,9.07348,-0.12157,-0.116732,282.739990,273.640015,278.190002,1093.000000,478.17,471.117,474.644,1847.04,196.454,754.045
0.834525,10.8742,0.895764,0.281076,18.9945,1.96951,0.35226,8.19101,0.0711842,5.90764,0,-0.0625238,9.41876,-0.188622,-0.178095,297.190002,287.290009,292.240005,1068.000000,498.569,487.577,493.073,1915.08,200.833,847.079
0.854633,11.3293,1.02609,0.276296,19.7262,2.21415,0.336204,8.48051,0.0599087,6.37102,0,-0.0776466,9.72603,-0.222235,-0.218531,308.029999,306.149994,307.089996,1071.000000,516.605,503.075,509.84,1929.4,202.75,858.397
0.874797,11.8481,1.13915,0.270028,20.4842,2.45264,0.319138,8.73537,0.0491092,6.73488,0,-0.102223,10.0791,-0.210934,-0.202185,303.250000,309.410004,306.330002,1159.000000,533.839,521.06,527.449,2060.97,221.119,901.971
0.895048,12.3407,1.27397,0.264357,21.2607,2.68744,0.305235,9.03132,0.0408783,6.96516,0,-0.0292828,10.435,-0.15642,-0.149943,325.100006,316.380005,320.740005,1225.000000,550.92,541.273,546.097,2103.58,225.357,878.582
0.915198,12.9173,1.41671,0.261873,22.0985,2.93782,0.296812,9.30644,0.0349387,7.22067,0,-0.016094,10.7245,-0.0475776,-0.0559931,325.179993,323.329987,324.254990,1280.000000,563.803,559.819,561.811,2084.55,237.556,804.551
0.935333,13.4188,1.55071,0.259976,22.927,3.19217,0.29787,9.64881,0.0378931,6.82026,0,-0.0252383,10.7903,0.0836467,0.0745618,337.200012,353.309998,345.255005,1225.000000,563.307,567.458,565.382,2125.28,220.127,900.277
0.95559,13.9945,1.67699,0.259132,23.7598,3.46784,0.311492,9.92813,0.0523598,6.21147,0,0.0695959,10.856,0.2793,0.274158,338.019989,356.529999,347.274994,1071.000000,562.671,578.607,570.639,2079.65,223.364,1008.65
0.975698,14.5557,1.80425,0.269822,24.5709,3.77466,0.341697,10.2073,0.0718748,8.2183,0,0.314325,10.7252,0.503525,0.486354,324.089996,342.750000,333.419998,1419.000000,551.257,580.481,565.869,2056.84,232.449,637.838
0.995878,15.1283,1.97004,0.296502,25.362,4.13378,0.392169,10.46,0.0956665,6.10332,0,0.365882,10.765,0.79668,0.762365,330.690002,349.750000,340.220001,1060.000000,548.204,594.548,571.376,2006.7,231.156,946.701
1.01607,15.657,2.14645,0.33982,26.1157,4.55212,0.459418,10.7319,0.119598,8.02809,0,0.768561,10.5185,0.960225,0.916347,314.619995,359.510010,337.065002,1382.000000,533.098,589.354,561.226,1969.68,224.161,587.676
1.03618,16.1743,2.34595,0.393513,26.8275,5.02105,0.529642,10.984,0.136129,5.74402,0,0.839449,10.308,0.788536,0.752843,315.420013,357.140015,336.280014,1038.000000,522.329,570.981,546.655,1932.5,210.375,894.503
1.05643,16.6859,2.58179,0.462979,27.4943,5.50011,0.581293,11.1954,0.118313,7.53297,0,1.02379,9.93739,0.572537,0.546181,297.829987,340.690002,319.259995,1287.000000,504.46,540.336,522.398,1786.1,203.138,499.1
1.07658,17.153,2.83642,0.5419,28.1138,5.97327,0.619178,11.4008,0.0772785,4.8266,0,1.02872,9.47107,0.432968,0.412922,290.829987,351.820007,321.324997,892.000000,480.912,508.062,494.487,1706.81,173.162,814.812
1.09672,17.4771,3.10002,0.623287,28.6974,6.44227,0.649164,11.7075,0.0258771,5.67566,0,1.09924,9.03261,0.352542,0.335878,279.769989,341.339996,310.554993,1053.000000,459.91,481.738,470.824,1649.89,160.269,596.889
1.11693,18.0719,3.57495,0.716911,29.2413,6.89992,0.674394,11.6537,-0.0425168,6.22259,0,0.859694,8.60945,0.316978,0.302783,281.720001,459.390015,370.555008,1086.000000,440.449,459.726,450.088,1482.24,79.5326,396.237
1.13706,18.3536,3.89312,0.772961,29.7517,7.35083,0.698515,11.911,-0.0744465,5.06509,0,0.735985,8.36826,0.305726,0.296517,283.320007,315.420013,299.370010,907.000000,427.489,446.21,436.849,1596.65,137.479,689.654
1.15728,18.7005,4.25476,0.834014,30.2407,7.80464,0.722611,12.0739,-0.111402,6.61243,0,0.636547,8.2487,0.324067,0.316847,273.760010,302.959991,288.360001,1075.000000,422.556,442.125,432.341,1573.71,143.981,498.707
1.17739,19.0107,4.68836,0.883096,30.7121,8.26997,0.749996,12.2372,-0.1331,5.89391,0,0.511247,8.11216,0.392356,0.376736,268.179993,302.880005,285.529999,1002.000000,416.187,439.309,427.748,1385.78,142.218,383.775
1.1976,19.307,5.06374,0.921179,31.1448,8.74334,0.788093,12.3965,-0.133086,5.91364,0,0.433072,7.84467,0.529587,0.513446,270.269989,285.130005,277.699997,976.000000,399.231,431.242,415.237,1502.84,137.537,526.843
1.21774,19.6148,5.5299,0.954632,31.5504,9.22845,0.828133,12.4956,-0.126499,5.12249,0,0.389139,7.76893,0.515023,0.50006,254.630005,281.209991,267.919998,888.000000,395.629,426.73,411.18,1487.12,143.26,599.123
1.23789,19.8525,5.90907,0.988333,31.9319,9.72622,0.869188,12.6682,-0.119145,5.39279,0,0.339431,7.66499,0.546209,0.525084,249.050003,269.859985,259.454994,910.000000,390.68,423.459,407.07,1338.75,147.615,428.755
1.25807,20.0638,6.28113,1.01527,32.2755,10.2214,0.911792,12.8317,-0.103474,5.17806,0,0.377889,7.31692,0.577241,0.55563,239.009995,266.130005,252.570000,929.000000,371.74,406.174,388.957,1373.91,136.387,444.908
1.27826,20.2853,6.66552,1.05064,32.5782,10.7139,0.958492,12.9424,-0.0921511,4.87974,0,0.446682,7.05829,0.64657,0.617203,226.000000,197.289993,211.644997,885.000000,357.445,395.478,376.462,1329.74,164.817,444.742
1.29841,20.4855,7.03191,1.09273,32.8411,11.2073,1.01003,13.0421,-0.0826929,4.71023,0,0.543535,6.83552,0.705406,0.671882,220.149994,249.600006,234.875000,837.000000,345.193,386.52,365.856,1301.05,130.981,464.047
1.31866,20.6376,7.38027,1.13671,33.0698,11.7152,1.06766,13.1663,-0.0690433,4.81714,0,0.602523,6.7235,0.785343,0.747405,212.220001,249.550003,230.885002,826.000000,338.984,384.572,361.778,1281.98,130.893,455.976
1.33875,20.7575,7.72847,1.18275,33.2569,12.2256,1.12977,13.2838,-0.0529815,5.15447,0,0.68367,6.6634,0.83341,0.79284,210.649994,246.110001,228.379997,866.000000,335.783,383.947,359.865,1279.46,131.485,413.462
