try,kind,score,param.motor.kt_constant,param.inverter.max_phase_current,param.inverter.acceleration_delay_ms,param.inverter.efficiency,param.battery.max_discharge_current,param.battery.initial_soc,param.battery.min_voltage,param.transmission.viscous_drag_coeff,param.transmission.coulomb_drag,param.transmission.efficiency,param.transmission.t_max,param.transmission.kv,param.car.front_bearing_drag,param.steering.ackerman_factor,param.steering_motor.time_constant,param.aero.lift_coefficient,param.aero.drag_coefficient,param.aero.aero_balance_front,param.tire.effective_tire_r,param.tire.slip_ratio_relaxation_length,param.tire.slip_angle_relaxation_length,param.tire.longitudinal_peak_scale,param.tire.longitudinal_stiffness_scale,param.tire.lateral_peak_scale,param.tire.lateral_stiffness_scale,param.tire.longitudinal_peak_pdx1,param.tire.longitudinal_stiffness_pkx1,param.tire.longitudinal_curvature_pex1,param.tire.lateral_peak_pdy1,param.tire.lateral_stiffness_pky1,param.tire.lateral_curvature_pey1,param.tire.combined_slip_lateral_scale,param.tire.structural_longitudinal_stiffness,param.tire.structural_lateral_stiffness,param.tire.structural_yaw_stiffness,stage,parameter,step_size,search_radius,position_rmse,heading_rmse,velocity_rmse,velocity_x_rmse,velocity_y_rmse,yaw_rate_rmse,front_wheel_rpm_rmse,motor_rpm_rmse,samples,error,warning
186,staged_genetic,13.69053443261867,0.6939434013331104,390.0,63.364782616798614,0.9677780655374656,194.92069714894538,0.8283825659345558,361.3735935200603,1.553983018163407e-05,0.06917518951932686,0.9819121625477931,362.7941636648998,52.743824217174655,0.0,0.002366344172210476,0.07222504551601218,0.918432059082054,0.6229549799476267,0.5062732585490075,0.18271659844221153,0.05426154790281086,0.08337538164312222,1.5217710688390789,1.2924872115662278,1.1305734743778748,0.8769670144974244,1.0714588827807072,29.971499406396756,1.2756145408760509,2.5464279711458966,-38.73675608423398,0.5786882538811751,0.7904079630317946,273997.16823681275,112924.43877252693,3650.4671297553605,longitudinal_acceleration,,,,6.677810344806486,0.1286985158066417,1.0539267444904348,1.0367785492741022,0.1893457750183362,0.19037033019702648,100.40398215481173,209.84321606751004,169,,
187,staged_genetic,13.60461389259102,0.7238005859507288,390.0,24.19083177697651,0.9771041927573043,189.74735131414286,0.9271266574190345,354.45916322813105,0.0,0.18319190746287964,0.99,341.0079401976553,61.537854352091244,0.00016820000532411167,0.002366344172210476,0.07222504551601218,0.918432059082054,0.6229549799476267,0.5062732585490075,0.1824336384698332,0.050734302157530844,0.08337538164312222,1.3726753377487122,1.0967454920339608,1.1305734743778748,0.8769670144974244,1.1445550132537543,29.299093344427735,1.357957731395282,2.5464279711458966,-38.73675608423398,0.5786882538811751,0.7904079630317946,274738.7877051723,112924.43877252693,3650.4671297553605,longitudinal_acceleration,,,,7.249208473427277,0.13040572734802305,1.1311632880662985,1.120326687679853,0.15620018291042065,0.11985841510410997,79.67431421943103,222.9112039234203,166,,
188,staged_genetic,19.243139947859913,0.6816686526519167,390.0,69.34208789040835,0.9939053761520461,196.48961203374083,0.843323072024714,370.54801622196516,0.007185135908425534,0.0,0.9682579561828402,399.4977186664046,71.15931133267955,0.008937030563451336,0.002366344172210476,0.07222504551601218,0.918432059082054,0.6229549799476267,0.5062732585490075,0.19920948895308277,0.04847426866683229,0.08337538164312222,1.4153582780536116,1.2092725242976323,1.1305734743778748,0.8769670144974244,1.2086513173281128,27.368264576008603,1.5327794283894445,2.5464279711458966,-38.73675608423398,0.5786882538811751,0.7904079630317946,294360.70170804573,112924.43877252693,3650.4671297553605,longitudinal_acceleration,,,,6.762458439088153,0.1334287210984488,1.7802943589701024,1.769131487789574,0.19905221297994702,0.19405680649100912,115.1197123369942,265.05656569913305,166,,
189,staged_genetic,43.6213639686732,0.7172132557283232,375.89231091408254,0.0,0.9735331745164935,189.2998882367163,0.8465187997795658,355.9037727327095,0.007060100131054443,0.0,0.9770408430450415,381.81983146563334,60.35209061040245,0.3395587316000517,0.002366344172210476,0.07222504551601218,0.918432059082054,0.6229549799476267,0.5062732585490075,0.18228039483013025,0.049249088051221315,0.08337538164312222,1.0024108250168886,1.6175535134700225,1.1305734743778748,0.8769670144974244,1.0257447970584057,25.0,1.4797276838550355,2.5464279711458966,-38.73675608423398,0.5786882538811751,0.7904079630317946,383455.7461417474,112924.43877252693,3650.4671297553605,longitudinal_acceleration,,,,7.499633144910127,0.13554430646199264,2.931067156318045,2.922682772717816,0.22154025572082306,0.14915280343499746,166.7764410184923,1789.344577846675,147,,
190,staged_genetic,15.287156810209693,0.7238927422794265,388.20932888570286,1.4585062643625708,0.966411832302594,189.80973911178103,0.8735652206734962,350.63003870537443,0.0,0.4058326147196088,0.9789550566902238,415.3202177561675,63.452424143014724,0.0003118371431384644,0.002366344172210476,0.07222504551601218,0.918432059082054,0.6229549799476267,0.5062732585490075,0.18764092446387323,0.06180332624875547,0.08337538164312222,1.4326308621089996,1.0970546120553604,1.1305734743778748,0.8769670144974244,0.5662892992656395,28.741386351411812,1.4312743915073811,2.5464279711458966,-38.73675608423398,0.5786882538811751,0.7904079630317946,303528.4759342078,112924.43877252693,3650.4671297553605,longitudinal_acceleration,,,,6.284240255905636,0.12954145636504552,1.3038331248828174,1.2908731792214654,0.18337735058714016,0.1868403567139928,107.80166329561702,195.36204043932025,171,,
191,staged_genetic,13.89719912713885,0.6684572418034561,390.0,135.59136291389376,0.9657912462436872,185.82388127200983,0.8367997318503859,340.5506935375512,0.006789732288002837,0.0,0.9695811344731631,275.78242506433986,61.601966222434704,0.0,0.002366344172210476,0.07222504551601218,0.918432059082054,0.6229549799476267,0.5062732585490075,0.18256914694629225,0.03977833067711289,0.08337538164312222,1.2459493667306414,1.4181956856310955,1.1305734743778748,0.8769670144974244,1.1238449235700496,45.62777606873696,1.5544114322754912,2.5464279711458966,-38.73675608423398,0.5786882538811751,0.7904079630317946,345657.2289765106,112924.43877252693,3650.4671297553605,longitudinal_acceleration,,,,6.042532968596503,0.13484943110607928,1.2170579605258176,1.1993339118751096,0.2069498661647557,0.19780976400144495,99.47036759406987,149.2828198262524,167,,
192,staged_genetic,13.704157567268576,0.7365138364129072,386.328259486464,133.06872300266483,0.9736221105333677,198.95267377901197,0.9056270767385273,356.97247824174747,0.0,0.0,0.9767259764780293,381.549646992957,74.9280338931138,0.03630999168384093,0.002366344172210476,0.07222504551601218,0.918432059082054,0.6229549799476267,0.5062732585490075,0.18050511860825239,0.08427416038848007,0.08337538164312222,1.2882260288697442,1.0245816551696965,1.1305734743778748,0.8769670144974244,0.9520011667113493,25.0,0.9438627132376454,2.5464279711458966,-38.73675608423398,0.5786882538811751,0.7904079630317946,255155.80591054758,112924.43877252693,3650.4671297553605,longitudinal_acceleration,,,,6.447331450786952,0.14868423187982177,1.0419367342064902,1.0216363372577455,0.20467377087322455,0.21486807759892895,106.5697613807472,200.01175366451926,166,,
193,staged_genetic,26.075801021607237,0.843720589026022,390.0,536.8777685739274,0.9681115042834019,179.0948681965312,0.910613294284737,334.4077818233925,0.01172234116772483,0.0,0.99,338.46092491226875,63.694118693881194,0.2119974480945337,0.002366344172210476,0.07222504551601218,0.918432059082054,0.6229549799476267,0.5062732585490075,0.18507041258273907,0.04436906278129363,0.08337538164312222,1.4080765095517502,1.2554314062781131,1.1305734743778748,0.8769670144974244,1.7151873379948952,31.68110804916037,1.5408833006485845,2.5464279711458966,-38.73675608423398,0.5786882538811751,0.7904079630317946,324772.96121831343,112924.43877252693,3650.4671297553605,longitudinal_acceleration,,,,9.89540317506632,0.11581008369365704,2.6464610133513338,2.639846847701357,0.1869880099626172,0.1755852715590965,120.64428442787603,341.3216313156789,165,,
194,staged_genetic,12.091680364416487,0.6557031853744972,385.07465678886797,58.09976326678179,0.9766723518309005,186.10857751481262,0.8817046777016365,348.7473467701894,0.0016020642447604101,0.5635310120364232,0.9830668535135637,332.737329267998,58.82808523624652,0.00835788748369981,0.002366344172210476,0.07222504551601218,0.918432059082054,0.6229549799476267,0.5062732585490075,0.18262064493300129,0.044798428774116744,0.08337538164312222,1.1186457030804613,1.4324432900589144,1.1305734743778748,0.8769670144974244,1.055967817502085,33.420913092836656,1.4424458174193266,2.5464279711458966,-38.73675608423398,0.5786882538811751,0.7904079630317946,321620.1975785061,112924.43877252693,3650.4671297553605,longitudinal_acceleration,,,,6.48768012805679,0.13071796087732612,1.06669113255126,1.0548996765156704,0.1581665095733733,0.1170023840680993,71.81834250670622,157.52283082389621,171,,
195,staged_genetic,12.434045246146644,0.7376006800087374,390.0,0.0,0.9730482850343061,184.98396366217798,0.8408578929065201,367.0980246088779,0.0,0.0,0.9837537803811983,345.31471113519626,63.08176042070491,0.016036075332987676,0.002366344172210476,0.07222504551601218,0.918432059082054,0.6229549799476267,0.5062732585490075,0.18,0.0,0.08337538164312222,1.1958527676301307,1.189883303350865,1.1305734743778748,0.8769670144974244,1.1700664958279794,25.0,1.2831084987884025,2.5464279711458966,-38.73675608423398,0.5786882538811751,0.7904079630317946,264212.6824799797,112924.43877252693,3650.4671297553605,longitudinal_acceleration,,,,6.750125853081299,0.14732080837164227,0.890789871092282,0.8667037714590318,0.20574539357977117,0.2197475419964423,92.44547046372148,216.39303672898365,168,,
