try,kind,status,score,param.steering.ackerman_factor,param.tire.slip_angle_relaxation_length,param.tire.lateral_peak_scale,param.tire.lateral_stiffness_scale,param.tire.lateral_peak_pdy1,param.tire.lateral_stiffness_pky1,param.tire.lateral_curvature_pey1,param.tire.structural_lateral_stiffness,param.tire.structural_yaw_stiffness,stage,parameter,step_size,search_radius,position_rmse,heading_rmse,velocity_rmse,velocity_x_rmse,velocity_y_rmse,yaw_rate_rmse,front_wheel_rpm_rmse,motor_rpm_rmse,samples,error,warning
21,staged_genetic,ok,48.63362862816739,0.044770483725382684,0.0009031307133867436,1.712950100591519,4.171804149647425,3.395864479913839,-198.441565173489,0.16807563718357266,530291.8825398787,32727.717513063246,skidpad_turning,,,,11.339879500590047,1.507038679253434,1.900057168116103,1.8881442641261228,0.21243464867343803,0.24238258800609427,86.31769370160428,301.2239717017108,738,,
22,staged_genetic,ok,48.86723018950897,0.040770695876761534,0.0009970960547287678,2.0613107381372844,4.830253238793852,3.3828085769646714,-187.9074713292176,0.17937122360200036,482585.8975585011,29637.014017446258,skidpad_turning,,,,11.235965369749268,1.4660580198173858,1.962566539525832,1.9514104721016503,0.20896074138080795,0.2507756551156167,89.42253079318442,313.00851830701106,743,,
23,staged_genetic,ok,48.7933567561244,0.03675460130723118,0.0010895642041651662,1.793720004882808,4.578913854145254,3.4421097938941396,-196.09525611424505,0.18102560151007568,526233.9733541469,32881.251770139155,skidpad_turning,,,,11.176931207262925,1.4720302355485033,1.9620913694027216,1.9509442884333095,0.20885144316979362,0.24879497534070016,91.74278076442643,313.0760298357461,738,,
24,staged_genetic,ok,48.69637988006005,0.0505990036264627,3.1242613296023135e-05,1.6916653847336225,4.437371784057426,3.42718698291498,-199.99342369529563,0.16880108809541733,476322.99589919834,30649.455777868374,skidpad_turning,,,,11.554490321742932,1.5093384387322222,1.8537458003290206,1.8401833341920613,0.22382758721675194,0.24548580190331665,86.70899569234312,294.01282558406945,721,,
25,staged_genetic,ok,49.10534246305253,0.0282574657003617,0.0009566234351564951,1.7192344659814807,4.803573774157157,3.3322703219720546,-201.49046745851388,0.14962768714048946,468085.81254308135,35362.35319092602,skidpad_turning,,,,11.404921104041213,1.4879691148713583,1.9429198655197013,1.9308658466790811,0.21608953227625438,0.2491103907028462,87.56997043775728,310.2184541061422,726,,
26,staged_genetic,ok,48.55571575696587,0.024393821123925442,0.0007767633221536652,1.8538166853566234,4.68724232372985,3.5021645080235113,-184.83762056706948,0.20757807387596944,496292.6360611776,30728.97030554434,skidpad_turning,,,,11.225220367156556,1.4822117593078208,1.920273527143056,1.9084791843213278,0.21250322834874882,0.25007459493158646,87.40021601589757,306.02105026645046,741,,
27,staged_genetic,ok,48.46987223479068,0.0366127650372243,9.375415979213236e-05,1.7885428016267078,4.514116443489111,3.7075413322247055,-196.15095917025553,0.17686249514116764,466811.7261555352,31919.703280591813,skidpad_turning,,,,11.36259569285623,1.4828558783543306,1.8797538733446804,1.866637416379957,0.2216740402588576,0.25106387391499235,85.85748132674412,298.05255082235016,720,,
28,staged_genetic,ok,49.59574138143665,0.01890633340953236,0.001069089971585192,1.861561550905658,4.46279222053035,3.4956317129349066,-195.09275771617084,0.15930235405497886,497952.87865164503,30933.90566833012,skidpad_turning,,,,11.456334559581176,1.4273215448976524,2.01748935582813,2.007349025105975,0.20202275190161242,0.2557874687163772,92.52617655443285,325.35792266423556,742,,
29,staged_genetic_long_eval,ok,48.23804843149846,0.02083912106332981,0.0,1.8786043074007979,4.833018161366247,3.499106715535468,-180.46236949977038,0.16895892089672593,472694.0919710117,34577.73376398522,skidpad_turning,,,,11.210395169423547,1.4824591261124132,1.8890444975376983,1.8766210561855972,0.21629268401476887,0.24931454244709697,85.49072869711931,298.637573315525,742,,
30,staged_genetic,ok,48.25750358977861,0.02083912106332981,0.0,1.8786043074007979,4.833018161366247,3.499106715535468,-180.46236949977038,0.16895892089672593,472694.0919710117,34577.73376398522,skidpad_turning,,,,11.274608052910223,1.4977403496699315,1.8688453410658776,1.8560478818021537,0.21833270318799144,0.2491755533685312,84.64609073162725,294.67985545760274,736,,
