try,kind,score,param.motor.kt_constant,param.inverter.max_phase_current,param.inverter.acceleration_delay_ms,param.inverter.efficiency,param.battery.max_discharge_current,param.battery.initial_soc,param.battery.min_voltage,param.transmission.viscous_drag_coeff,param.transmission.coulomb_drag,param.transmission.efficiency,param.transmission.t_max,param.transmission.kv,param.car.front_bearing_drag,param.steering.ackerman_factor,param.steering_motor.time_constant,param.aero.lift_coefficient,param.aero.drag_coefficient,param.aero.aero_balance_front,param.tire.effective_tire_r,param.tire.slip_ratio_relaxation_length,param.tire.slip_angle_relaxation_length,param.tire.longitudinal_peak_scale,param.tire.longitudinal_stiffness_scale,param.tire.lateral_peak_scale,param.tire.lateral_stiffness_scale,param.tire.longitudinal_peak_pdx1,param.tire.longitudinal_stiffness_pkx1,param.tire.longitudinal_curvature_pex1,param.tire.lateral_peak_pdy1,param.tire.lateral_stiffness_pky1,param.tire.lateral_curvature_pey1,param.tire.combined_slip_lateral_scale,param.tire.structural_longitudinal_stiffness,param.tire.structural_lateral_stiffness,param.tire.structural_yaw_stiffness,stage,parameter,step_size,search_radius,position_rmse,heading_rmse,velocity_rmse,velocity_x_rmse,velocity_y_rmse,yaw_rate_rmse,front_wheel_rpm_rmse,motor_rpm_rmse,samples,error
312,staged_genetic,60.07664644767703,0.7663524865798944,298.7337298329792,473.48269763644646,0.9670354427019139,136.2246333743715,0.9226689984838268,354.96643471123286,0.00037951833025639625,0.020367607051371694,0.974619816956004,352.5501562273337,56.73772097025551,0.0,0.0,0.112,0.86,0.73,0.5,0.18691461239494175,0.05571126381181483,0.05,1.312093737216939,0.9802144581891088,1.0,1.0,0.9069234145857725,25.186019395358137,0.9801077866960513,2.3749,-38.9068,0.53284,1.0,409837.41287815437,100000.0,5000.0,longitudinal_acceleration,,,,7.997515366542198,0.6782667471995968,6.137835031931047,5.336100820354719,3.0329930620114682,1.4816764215464013,269.66573729692664,1545.8712441471732,165,
313,staged_genetic,32.3374716821349,0.5969563123447048,300.0806539718999,160.1720088930378,0.9423416658007777,132.53564678668087,0.8408485097193553,338.89334884273234,0.0,0.0,0.9658112182881907,260.1532812647839,56.984071799898445,0.0,0.0,0.112,0.86,0.73,0.5,0.22828266887003967,0.01778180386285843,0.05,1.307674195939677,1.0168271912865325,1.0,1.0,1.2773681502247312,59.55606424704647,0.9331583442713984,2.3749,-38.9068,0.53284,1.0,278348.75136781903,100000.0,5000.0,longitudinal_acceleration,,,,9.536814855051576,0.10331042155745188,2.617997384109055,2.612713497070381,0.1662482644363791,0.12393850658502126,219.08496340796637,597.4472487952248,179,
314,staged_genetic,28.961234178739595,0.6163174254869368,275.91050257598135,45.43696564615749,0.9826832595733512,125.39342350252802,0.8104661284070701,300.0,0.0034335265877945627,1.5565953880019785,0.9554882180141001,408.2791956342516,66.27354072991578,0.050911209811649406,0.0,0.112,0.86,0.73,0.5,0.19554459801343516,0.03449595666015913,0.05,1.447333244271748,1.0275015213846288,1.0,1.0,1.6735358628110029,25.0,0.5703475201465968,2.3749,-38.9068,0.53284,1.0,210828.21305866103,100000.0,5000.0,longitudinal_acceleration,,,,8.461170531110115,0.1119005144652861,2.8606669007014065,2.855441177010091,0.1728317141146833,0.15126060458900942,135.6782913270113,469.19595338557946,176,
315,staged_genetic,14.36713902557546,0.626568979550187,276.3782097732281,0.0,0.9646564983414028,184.85954836069965,0.8707273964818989,356.66815176470993,0.0016459049632943585,0.4874153857141331,0.9656438988406135,322.1438301636632,61.7910285959949,0.0,0.0,0.112,0.86,0.73,0.5,0.19538467711771143,0.09715725564680523,0.05,1.459699792425689,1.1782922783127607,1.0,1.0,1.2548401899649329,84.35153633349091,1.3392840344825938,2.3749,-38.9068,0.53284,1.0,200524.6139408312,100000.0,5000.0,longitudinal_acceleration,,,,5.633922230680573,0.1347990862596425,1.2589045345561238,1.2506888345642773,0.143589923818566,0.19546805421584768,100.48786826014916,169.88780300594888,160,
316,staged_genetic,23.91363684035595,0.6257949408014778,365.31496107629243,492.3232522165914,0.9318346903846048,162.97321270967055,0.9031036660258706,352.6953763763946,0.0,2.5807537944134387,0.9868099084638655,322.3075612080651,90.0,0.0,0.0,0.112,0.86,0.73,0.5,0.19093315125994964,0.167647832789473,0.05,1.3215995168792516,1.1945205210605505,1.0,1.0,1.1989019729006651,74.8944692034085,0.504103867405658,2.3749,-38.9068,0.53284,1.0,533151.6043027625,100000.0,5000.0,longitudinal_acceleration,,,,7.658580887927888,0.11666046998938095,2.4171809861279883,2.4098209313078685,0.18848607038493098,0.0942188776238897,110.49612519912728,348.6008362386871,187,
317,staged_genetic,59.63388029875085,0.7052266987561592,387.4470157634527,256.22521255013476,0.9693973298051486,110.0,0.9129294607985567,377.3005487472561,0.0,0.15258136361773258,0.9237678872872166,437.32898312301296,61.765352457011765,0.6567375778382211,0.0,0.112,0.86,0.73,0.5,0.1919552450628305,0.052043343376729646,0.05,0.7081228650584943,0.916472476509669,1.0,1.0,1.0832517742569359,47.803907469123985,0.8840665810590937,2.3749,-38.9068,0.53284,1.0,387162.0522506168,100000.0,5000.0,longitudinal_acceleration,,,,19.408574312589092,0.09003970762440842,5.546834541161346,5.54558216352973,0.11786388149702136,0.12426442521193465,323.4068106394272,952.951956151726,178,
318,staged_genetic,54.1646543492798,0.591017491900766,275.82075652117425,524.3459327592797,0.9598011962067953,132.8846714995546,0.8325090649877064,336.5677056713363,0.038975595925343984,0.9585812897390534,0.9695061481342164,258.3687622581394,54.73019269098458,0.28413003251712665,0.0,0.112,0.86,0.73,0.5,0.19574472269475374,0.0,0.05,1.3897717446749582,1.145139183278964,1.0,1.0,0.7739452522786092,64.67006632244744,0.47622561738820035,2.3749,-38.9068,0.53284,1.0,467765.8611947135,100000.0,5000.0,longitudinal_acceleration,,,,18.150073824597598,0.08546159187693973,5.036172757856967,5.034365964554071,0.134890258803949,0.1235832307604033,299.0588354947009,835.2601120098572,178,
319,staged_genetic,55.852074007078365,0.6686265885975544,306.38654039854225,493.6920222613163,0.933520945079837,130.25390153637855,0.8905145207349839,396.6574362872239,0.016365646532070344,1.3827006656171117,0.9740190490993194,347.4445454046331,44.20754441987511,0.44375824986042434,0.0,0.112,0.86,0.73,0.5,0.21155569771579044,0.11741597058713343,0.05,1.4168657111989074,1.082281410148733,1.0,1.0,0.8506105576272229,54.1383542012253,1.2764631727163251,2.3749,-38.9068,0.53284,1.0,321229.880801554,100000.0,5000.0,longitudinal_acceleration,,,,18.036763942616844,0.08626149627242614,5.084300647045798,5.082692631882291,0.1278619543092673,0.11350071298031678,315.28952968045087,912.4008053254521,178,
320,staged_genetic,23.905529559240268,0.6797467166704501,199.0554586851394,45.59274996312041,0.9699780191582299,125.0238985653062,0.8126581128865182,358.432993750472,0.0,0.38234017948558235,0.9667176594919442,371.58472113085924,54.82185583003523,0.0,0.0,0.112,0.86,0.73,0.5,0.19325082616506095,0.09285034116464477,0.05,1.388182766894764,1.0310431501177322,1.0,1.0,1.2577074467024751,81.28808770183701,1.1383623001249321,2.3749,-38.9068,0.53284,1.0,340138.92269434495,100000.0,5000.0,longitudinal_acceleration,,,,5.987770065029065,0.1098397089274354,2.123946691976588,2.116902945080224,0.1728336525939462,0.11936215903398943,168.4151217626078,325.3432093992046,178,
321,staged_genetic,22.758531288033204,0.5960331586986836,232.064859947712,427.6548646870362,0.9436393543024609,137.95902962198144,1.0,383.5089323859995,0.0008559351465149088,0.12198359689470561,0.963933824300165,254.5916152722691,73.30177989116524,0.0,0.0,0.112,0.86,0.73,0.5,0.19300766027265412,0.0,0.05,1.2889907235875366,0.98147305290125,1.0,1.0,1.3083861524560862,63.763839586869366,0.9949689699667537,2.3749,-38.9068,0.53284,1.0,255320.039663018,100000.0,5000.0,longitudinal_acceleration,,,,7.4939682149936635,0.10785008837227242,2.0009647166060227,1.993188595646757,0.17623569242899603,0.1240926383958728,156.18212044514817,303.6635111540023,178,
